points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.388,0.077,0.396,0.002,22.8825,0.0
7,0.352,0.034,0.278,0.04,12.62,3838.4115
14,0.299,0.047,0.328,0.036,7.1631,3431.8593
21,0.35,0.081,0.302,0.082,12.6241,3290.3843
28,0.39,0.025,0.359,0.052,12.1112,3576.8153
35,0.402,0.009,0.381,0.016,13.9015,4364.7625
