points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
448,0.469,0.046,0.541,0.023,133.0334,0.0
9,0.284,0.093,0.29,0.085,1.3707,881.6636
18,0.258,0.051,0.306,0.065,1.8387,871.9786
27,0.387,0.054,0.432,0.068,2.6505,1414.1684
36,0.356,0.045,0.408,0.054,2.5768,1465.4821
45,0.29,0.102,0.39,0.134,2.8167,1613.0415
