points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
398,0.605,0.105,0.757,0.055,1.0977,0.0
9,0.405,0.202,0.525,0.234,2.3,3462.8808
18,0.5,0.213,0.624,0.261,2.9099,4079.1608
27,0.574,0.095,0.715,0.102,4.7141,4021.5383
36,0.586,0.067,0.734,0.057,4.7844,4003.0361
45,0.584,0.05,0.734,0.049,4.8062,4387.325
