points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
128,0.87,0.032,0.858,0.029,767.7984,0
8,0.088,0.115,0.11,0.139,319.9392,32975.6001
16,0.232,0.292,0.241,0.296,295.6612,34734.2496
24,0.301,0.354,0.313,0.357,316.0089,29509.2199
32,0.302,0.351,0.321,0.356,341.3485,25669.2741
40,0.303,0.348,0.332,0.364,296.3495,18485.1271
