points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.388,0.078,0.392,0.003,27.2572,0.0
7,0.377,0.034,0.353,0.063,9.0835,3502.5906
14,0.271,0.101,0.297,0.08,7.9975,3266.9328
21,0.348,0.084,0.344,0.1,10.7988,3024.5084
28,0.38,0.016,0.367,0.04,12.3442,3675.945
35,0.395,0.012,0.385,0.008,13.2788,3716.5294
