points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
136,0.076,0.026,0.059,0.02,0.8892,0.0
8,0.059,0.027,0.055,0.013,2.9999,5755.6501
16,0.065,0.026,0.052,0.018,2.9387,5723.2471
24,0.087,0.032,0.066,0.025,2.9515,5883.1999
32,0.096,0.038,0.074,0.026,3.2871,5696.4805
40,0.089,0.042,0.068,0.031,3.0529,6809.02
