points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.328,0.035,0.44,0.016,1.4195,0
7,0.4,0.019,0.432,0.023,2.3474,3772.6432
14,0.292,0.082,0.412,0.045,2.2924,3762.3808
21,0.334,0.017,0.399,0.029,2.1358,4323.9313
28,0.29,0.019,0.424,0.025,2.3899,3635.0674
35,0.282,0.014,0.415,0.014,2.2689,3668.5489
