points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
470,0.132,0.027,0.244,0.025,0.0905,0
9,0.126,0.008,0.22,0.016,0.2158,363.9447
18,0.112,0.002,0.225,0.003,0.2158,398.4513
27,0.123,0.004,0.228,0.011,0.6103,737.6191
36,0.13,0.003,0.237,0.002,0.5694,749.7599
45,0.102,0.003,0.186,0.004,0.524,671.9723
