points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.377,0.119,0.516,0.032,33.4375,0.0
7,0.345,0.043,0.439,0.066,19.0209,3333.0362
14,0.394,0.046,0.487,0.04,18.2525,3126.2815
21,0.353,0.039,0.472,0.038,14.8557,3336.576
28,0.354,0.009,0.465,0.034,20.5752,3463.3838
35,0.342,0.015,0.467,0.029,23.003,4190.7711
