points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
512,0.022,0.038,0.017,0.028,0.044,0
10,0.081,0.01,0.081,0.011,0.1288,222.3447
20,-0.003,0.004,-0.002,0.003,0.1298,240.8919
30,0.046,0.004,0.04,0.003,0.2982,336.9249
40,0.024,0.005,0.018,0.004,0.3403,332.185
50,0.029,0.0,0.023,0.0,0.3677,387.7085
