points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
65,0.321,0.001,0.238,0.001,0.8087,0.0
7,0.01,0.025,0.019,0.01,3.0663,5493.5918
14,0.245,0.106,0.189,0.082,2.924,6470.9728
21,0.323,0.037,0.249,0.031,2.99,6280.7618
28,0.316,0.012,0.233,0.011,2.9118,6728.7295
35,0.319,0.002,0.237,0.002,2.8585,6399.4345
