points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
131,0.385,0.043,0.564,0.025,752.5907,0.0
8,0.116,0.02,0.239,0.024,254.6067,13182.7235
16,0.091,0.024,0.182,0.044,262.8436,18360.441
24,0.085,0.02,0.176,0.051,257.0729,14730.6728
32,0.081,0.021,0.175,0.054,227.7191,15174.1094
40,0.073,0.03,0.169,0.063,235.7688,15255.3136
