points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
270,0.178,0.019,0.369,0.015,2.1902,0.0
9,0.121,0.046,0.269,0.081,4.0871,5073.8117
18,0.135,0.049,0.287,0.098,4.2959,5959.7813
27,0.152,0.032,0.324,0.067,4.5317,6379.2012
36,0.164,0.016,0.341,0.034,7.5578,8364.9872
45,0.176,0.006,0.365,0.013,7.3245,8076.0961
