points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
720,0.17,0.078,0.172,0.074,3391.768,0
10,0.049,0.017,0.051,0.021,12.9744,2650.5142
20,0.055,0.021,0.054,0.022,16.4639,2784.6188
30,0.05,0.016,0.053,0.018,21.2577,2885.6682
40,0.044,0.007,0.046,0.01,22.1174,3205.7823
50,0.054,0.019,0.052,0.018,23.5677,3321.8276
