points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
82,0.063,0.01,0.047,0.008,119.365,0.0
7,0.059,0.057,0.045,0.044,18.4924,6832.9624
14,0.154,0.128,0.119,0.101,26.0547,9234.9922
21,0.071,0.067,0.054,0.051,31.4844,7561.8595
28,0.063,0.049,0.048,0.038,38.8207,7403.2696
35,0.049,0.033,0.037,0.026,43.7547,9167.2669
