points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
720,0.017,0.01,0.026,0.022,1475.7969,0.0
10,0.024,0.023,0.026,0.026,7.4801,2061.8085
20,0.045,0.026,0.054,0.034,10.8746,2519.1125
30,0.058,0.024,0.069,0.028,11.418,2665.4911
40,0.059,0.025,0.072,0.033,14.8562,3014.3686
50,0.053,0.027,0.065,0.035,17.8869,2809.7925
