points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.067,0.001,0.085,0.002,0.6581,0.0
7,0.036,0.022,0.051,0.026,2.5602,4483.3105
14,0.105,0.056,0.059,0.033,2.5628,5002.6356
21,0.028,0.004,0.029,0.005,2.4352,6898.1423
28,0.057,0.056,0.055,0.034,3.0293,5347.2291
35,0.065,0.003,0.077,0.018,2.7207,5648.6525
