points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
1024,0.732,0.065,0.861,0.032,2.0181,0.0
11,0.499,0.13,0.644,0.108,5.8532,8784.9737
22,0.354,0.038,0.506,0.047,11.5068,9517.1439
33,0.439,0.096,0.619,0.094,11.2345,10091.5289
44,0.433,0.072,0.631,0.079,11.9073,10521.4543
55,0.524,0.108,0.687,0.095,12.2444,10929.1336
