points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
60,0.572,0.038,0.741,0.038,0.8533,0.0
6,0.333,0.201,0.458,0.257,2.2744,2966.4643
12,0.433,0.209,0.572,0.268,2.3077,3331.5351
18,0.499,0.155,0.656,0.181,2.3324,3486.5987
24,0.545,0.076,0.712,0.081,2.1913,3973.8276
30,0.56,0.04,0.73,0.035,2.1275,3759.5344
