points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
463,0.174,0.034,0.28,0.042,0.8827,0.0
9,0.184,0.026,0.275,0.03,1.1352,1659.9384
18,0.151,0.018,0.243,0.031,1.0797,1728.5276
27,0.136,0.034,0.213,0.055,1.8593,1359.5098
36,0.169,0.038,0.247,0.052,2.0512,1582.1357
45,0.153,0.019,0.253,0.037,2.1352,1849.2418
