points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
80,0.308,0.056,0.485,0.02,37.25,0
7,0.355,0.038,0.454,0.032,17.2874,2864.7536
14,0.287,0.029,0.442,0.034,13.4367,3065.3173
21,0.269,0.007,0.423,0.043,16.7141,2994.6155
28,0.278,0.013,0.441,0.023,22.0997,3483.8368
35,0.272,0.009,0.451,0.018,19.4989,3110.5829
