points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
131,0.2,0.045,0.344,0.028,8.9532,0.0
8,0.109,0.018,0.234,0.025,11.9742,14062.792
16,0.08,0.02,0.181,0.046,13.0794,13489.1091
24,0.078,0.019,0.18,0.042,13.6314,14641.7838
32,0.064,0.028,0.159,0.069,14.1374,14639.4967
40,0.064,0.027,0.159,0.073,14.2484,18831.262
