points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
270,0.279,0.031,0.483,0.014,3323.4962,0.0
9,0.193,0.081,0.36,0.116,156.086,5289.7022
18,0.241,0.101,0.427,0.145,150.0935,5719.3986
27,0.278,0.081,0.475,0.098,154.4431,6094.615
36,0.307,0.061,0.508,0.062,156.8227,8486.0601
45,0.323,0.044,0.523,0.045,163.3545,7015.0763
