points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
577,0.134,0.035,0.193,0.034,0.1943,0
10,0.191,0.068,0.232,0.081,0.4207,769.5765
20,0.157,0.007,0.215,0.02,0.448,795.2661
30,0.164,0.007,0.211,0.009,1.1371,995.7382
40,0.132,0.007,0.184,0.003,0.8885,994.7945
50,0.143,0.007,0.197,0.014,0.9817,1028.5227
