points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
251,0.165,0.058,0.245,0.042,449.0355,0
8,0.186,0.053,0.202,0.064,3.3941,1124.9419
16,0.14,0.03,0.179,0.042,4.5269,1298.9182
24,0.186,0.037,0.23,0.042,5.4016,1514.0407
32,0.148,0.035,0.213,0.029,7.3138,1436.8828
40,0.164,0.028,0.234,0.025,8.3383,1994.1091
