points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
270,0.153,0.015,0.332,0.016,2.252,0.0
9,0.126,0.041,0.271,0.066,3.9778,5232.9546
18,0.129,0.033,0.282,0.075,4.2077,6808.1525
27,0.145,0.014,0.31,0.027,4.0896,6040.3509
36,0.153,0.001,0.326,0.004,7.5356,7453.4155
45,0.157,0.0,0.333,0.001,8.1535,8737.4162
