points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
235,-0.02,0.002,0.123,0.0,1.2151,0.0
8,-0.01,0.021,0.115,0.024,3.1201,5886.4035
16,0.012,0.004,0.006,0.001,2.7258,6319.5843
24,0.036,0.043,0.108,0.035,3.6327,6248.9202
32,-0.003,0.003,0.012,0.021,4.0475,7660.0247
40,-0.005,0.001,0.064,0.02,6.0639,8397.6734
