points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
720,0.094,0.0,0.117,0.0,0.5681,0
10,0.038,0.024,0.043,0.031,1.7816,3060.8246
20,0.066,0.026,0.078,0.038,3.0851,3381.2339
30,0.075,0.019,0.094,0.031,4.2085,4977.4809
40,0.092,0.002,0.117,0.001,3.8622,4588.8577
50,0.091,0.002,0.112,0.002,5.354,6881.8591
