points,adj_rand_mean,adj_rand_std,adj_mut_mean,adj_mut_std,run_time,run_time_base
470,0.1,0.032,0.223,0.056,237.5378,0
9,0.113,0.003,0.182,0.006,0.9252,351.8771
18,0.1,0.004,0.204,0.009,1.0081,389.9376
27,0.098,0.021,0.204,0.035,1.2437,511.1795
36,0.094,0.013,0.188,0.009,1.4291,474.3565
45,0.094,0.014,0.19,0.017,1.5836,573.0652
